x1,x2
0.0,0.0
1.6350346973314065e-05,0.0009835243924439256
0.00012807590194880257,0.0038699568108246504
0.00042222133993105804,0.008567783313717367
0.00097747170426567,0.01499098689738337
0.0018651895210739357,0.02305815969243898
0.0031494211435677327,0.03269249747729908
0.004887512592503311,0.043821343890771816
0.007129376286594803,0.05637686416623815
0.009917818600115407,0.07029574527185178
0.01329065170727445,0.0855175288419628
0.0172807158529561,0.10198459392913645
0.021915879352719374,0.11964215700415315
0.02721905153116972,0.1384382626798116
0.033210675764020536,0.15832206395870926
0.03990352127733721,0.17924776159233985
0.047304596293590365,0.20117310361331103
0.055418567485972,0.22405688903959675
0.06424775997839569,0.2478589678745372
0.07379215734549649,0.2725402411068392
0.08404940161263093,0.2980626607105757
0.09501479325587708,0.32438922964518613
0.10668129120203451,0.3514840018554762
0.11903958488958173,0.3793120412275869
0.13208215960796352,0.4078373741013905
0.14579309409649543,0.43702940427737025
0.16015163911127406,0.46686023917621106
0.17513689654937836,0.49730186677026533
0.19072781944887002,0.5283261555835532
0.2069032119887932,0.5599048546917631
0.2236417294891747,0.5920095937222506
0.2409218784110242,0.62461188285404
0.2587220163563335,0.6576831128178227
0.27702035206807735,0.6911945548959583
0.29579494543021306,0.7251173609224741
0.31502370746768027,0.7594225632830651
0.3346844003464018,0.7940810749150948
0.35475518872447814,0.8290640351996059
0.3752121955695315,0.8643460515680754
0.3960251904966448,0.8999034926618731
0.41716427574690274,0.9357125186604918
0.438600387419577,0.9717490795778081
0.4603052954721255,1.007988915262081
0.4822516037201936,1.0444075553959533
0.5044127498376132,1.0809803194964522
0.5267630053564027,1.1176823169149859
0.5492774756667682,1.1544884468373482
0.5719321000171013,1.1913733982837145
0.5947036515139815,1.2283116501086448
0.6175697371221747,1.2652774710010817
0.6405087976646331,1.302244919484351
0.6635001078224972,1.3391878439161629
0.6865237761350924,1.3760798824886091
0.7095607449999324,1.412894463228167
0.732591779017252,1.4496061746147777
0.755590697937674,1.4861977467185379
0.7785330716220707,1.5226473014094202
0.8013960089989506,1.5589320383233691
0.8241574275039723,1.5950294810486063
0.8467960530799431,1.630917477125625
0.869291420176821,1.6665741980471949
0.8916238717517132,1.701978139258359
0.9137745592688761,1.737108120156435
0.9357254426997162,1.7719432840910148
0.9574592905227892,1.8064630983639645
0.9789596797238006,1.840647354229425
1.0002109957956058,1.8744761668938117
1.0211984327382093,1.9079299755158134
1.0419079930587654,1.9409895432063946
1.062326487771578,1.9736359570287925
1.0824415363981004,2.00585062799852
1.1022415669669363,2.0376152910833647
1.1217158160138376,2.0689120052033863
1.1408543285817072,2.099723153230922
1.1596478660074656,2.130031538430361
1.1780812537707273,2.1598266132566915
1.1961402397363288,2.189095825272381
1.213814395795187,2.217823432565413
1.2310938242577203,2.2459943727889584
1.247969157853845,2.2735942631613746
1.2644315597329776,2.3006094004662065
1.2804727234640345,2.327026761052186
1.2960848730354315,2.3528340008332336
1.311260762855083,2.3780194552884537
1.3259936777504042,2.402572139462141
1.3402774329683094,2.4264817479637757
1.3541063741752122,2.4497386549680256
1.3674753774570263,2.472333914214746
1.3803798493191641,2.4942592590089783
1.3928157266865382,2.5155071022209516
